email,prediction
b4c8707d26,0.24
b2c3f37435,0.17
314ab92bd4,0.1
0db43b421f,0.24
6966ea9c8a,0.2
641afa0103,0.799
f483e61fc8,0.18
98dfff9c3a,0.15
cef3430ce7,0.257
f77f6419d3,0.097
d8c0a05290,0.207
22d3d84ffe,0.1
7e4d4cb11e,0.285
3cfad41520,0.04
53f87cf25f,0.06
8bca58247c,0.08
e180a5f4e9,0.13
95774f38e3,0.12
39bfbeff2b,0.569
eb89e63da5,0.11
9475988ae9,0.265
61d4ef8c60,0.11
0c27763088,0.32
48928522ac,0.15
9802ce87c7,0.251
4d5a3490da,0.19
81e944e26b,0.16
0fcd9b1da5,0.07
a342358fb1,0.16
5ebb789c99,0.07
94f837312f,0.15
9662f9d3a9,0.11
017154ea99,0.23
cbede5a444,0.318
c6743c8b09,0.13
320e26e909,0.14
a0162973b6,0.41
a313e26208,0.18
6984573fc1,0.043
529143a636,0.06
85b63149af,0.04
c39cc11fa7,0.1
40903f8b29,0.03
8293393325,0.09
5dac5c1675,0.19
1ab1424e50,0.2
2714ca22de,0.08
0e0ca018c6,0.11
8acee71582,0.289
27bc050f07,0.128
d9dcae259f,0.16
c7ca5fc650,0.11
a11b2a1071,0.06
535025887e,0.13
6ce4671bf8,0.25
a90d75c555,0.01
0b67181250,0.12
6e4b8f1e8c,0.562
d8ffa802a6,0.14
560624a79e,0.08
2d7cf3631b,0.13
6dd7456587,0.13
b4cfb2fe92,0.09
7a1fab86a4,0.165
baec6ee12e,0.19
bdcd512f9d,0.27
80f5a437cb,0.339
7958715e1f,0.16
7cb0c7fa9e,0.08
944b5a98d5,0.18
17c2c30bd1,0.14
0f611596e1,0.499
6528ef9be2,0.26
bb27aa4c3d,0.03
0859b80eeb,0.359
597a3955ac,0.14
f9fe401cd9,0.13
f0d9b6537d,0.09
c82a837dd8,0.18
fccdaa14a9,0.03
b4bbabdf3d,0.269
49bed39cff,0.14
2577223d20,0.4
8df4c61582,0.423
e3c5b08861,0.367
b619ef730c,0.1
5c0a4e805a,0.12
d551f26ed0,0.09
a87e5438fb,0.1
4928c6c17a,0.067
ee9bb72261,0.07
11566ea228,0.06
e07d85ad14,0.31
7b52d7b9e3,0.1
b5b2294e75,0.15
764da80b0a,0.06
6b5f22f344,0.11
dc6011e204,0.509
d40bbc6946,0.11
5ef330597a,0.25
4deca2006c,0.06
a9bd41d627,0.177
096f5d594b,0.09
80df2e762b,0.18
dff232bd77,0.445
32fd694c9f,0.05
d04e561a02,0.156
deb14b559b,0.279
f4a032830d,0.127
52643699f6,0.07
6682c8d763,0.31
7558216ab8,0.1
c4228fdb4f,0.19
3253c8c310,0.19
c970b11977,0.18
54983dbfcc,0.16
4db21d5117,0.24
17434caba3,0.1
ba6a55e088,0.13
c17a74c77f,0.21
bb49caf768,0.07
04cb0a82a1,0.05
2afed9896d,0.1
3c3dc7b243,0.246
e52cca6a85,0.11
e3f15133fb,0.06
45d85f459f,0.078
39990d02aa,0.15
0ed87fe906,0.03
c1d5b4e2d2,0.08
6f34fb2a70,0.268
0b322c4aed,0.2
3ddffa1ae0,0.14
63d0924c14,0.18
bfd2d29385,0.25
28b0808aed,0.04
0bee9d6f5a,0.21
e0bfbe690a,0.09
4f972bc9e7,0.22
a298b7aee6,0.037
4bb833576a,0.04
822f68669e,0.159
b79f8d342a,0.267
9cf3a2a947,0.205
c367fa646d,0.15
8e7a3248c8,0.14
ff667d7284,0.23
01eddf6651,0.13
540f84913c,0.146
402fc8d2f9,0.072
8f133e0e2e,0.12
7955f7b3f2,0.259
f17b2177ac,0.15
1da3332bd3,0.408
2e23cc18fc,0.16
0a1c264418,0.1
3c603f9e29,0.25
f21a72e17e,0.15
fffc8f1a4f,0.11
74572d359c,0.14
3cab2d3e01,0.05
0ec9fd7c35,0.23
eabaa9a7a9,0.137
c61f60e5ee,0.12
bed42c41b2,0.11
0d450d59c2,0.12
fc3be03822,0.226
ab1cae1053,0.13
e5ac19a675,0.04
0ea6eff8e5,0.07
5e36d1c297,0.091
2fc26d9af5,0.18
0aadb3bfcc,0.184
7a5947ac04,0.22
6c3bbcde55,0.193
0f61824105,0.18
4c1f972032,0.14
c5cb37097c,0.193
2afe03f107,0.09
0047e1c500,0.224
457d3b41a2,0.18
14b0ce892f,0.09
cde0333d1e,0.01
effbb172da,0.307
b6b2f021ae,0.13
f0a6815ba9,0.228
8aa76ea684,0.11
07d94b43c1,0.16
33d392d088,0.205
790a6e0370,0.1
7f2cb13bb5,0.261
17e692b3d2,0.07
f0b861e10f,0.16
f226fa87c9,0.12
6bda4e5f15,0.01
645f755fd4,0.26
d83d2a7d66,0.258
f56bdbccf8,0.13
cf1be7ff71,0.08
7afa32cd6f,0.12
517da5b1cd,0.23
c31e2b8fc6,0.287
c1e744cb13,0.21
5e1f74453a,0.07
d71ffe4d30,0.13
4429247aa5,0.03
0c8855b60b,0.319
e29cf39727,0.11
92da1e0a93,0.1
b46b32e008,0.09
2b4220f002,0.16
1b290cebe7,0.169
feb292532e,0.12
f4b06fb2cd,0.21
ce272b0db4,0.11
c3dde6cc00,0.14
5d1fda6a63,0.17
f5e60659f9,0.14
de8c390c3b,0.177
a11abd0c79,0.05
6f2970aa14,0.13
0fe5484421,0.15
b4cc2d68f1,0.388
102e283f1c,0.08
e15a0a625d,0.1
308bcf29a3,0.1
eff9844095,0.06
05e0a1aadf,0.24
ada60580e8,0.067
2c5b26e375,0.434
c2f1142616,0.064
4c3c7eee46,0.15
558d99e1fb,0.12
adc73c94cc,0.28
bacf9d29c4,0.09
7b89eb7606,0.22
6e985cc279,0.11
e4481dd5cb,0.14
b20512be42,0.19
d355d30504,0.308
b5f9cdf4c6,0.06
c279394b18,0.07
8dbc03bfa5,0.05
6fecb58a21,0.08
47531288b9,0.43
87ab41866b,0.173
8383d22011,0.12
5f9b4ede02,0.18
874765bbe0,0.16
90494d43f9,0.08
94cc10bd39,0.16
6f4a8fdb41,0.35
0e598af7d7,0.07
967b70c4c2,0.13
fedfa9e85e,0.248
4970563556,0.129
810406a2e5,0.27
40f457d798,0.2
cd32fc44c8,0.034
b9ee0ad14c,0.02
c54692af4e,0.14
89c7483aa8,0.268
27f71747cd,0.05
6c31b7698f,0.3
236fe6a516,0.05
07e1e1aef5,0.19
43c653e183,0.15
062f85e21a,0.198
44da198660,0.11
3b437ba02a,0.08
e847282f7e,0.229
6482a4c864,0.09
76a376bc10,0.3
fa80c10819,0.168
471a32c5e9,0.119
caa1abbc31,0.23
1975eba2f7,0.04
ab58891506,0.096
224a7674ec,0.09
60e32f0ba1,0.08
e967683a59,0.073
d102db7361,0.14
abb9acf59f,0.298
4eb34cb2eb,0.23
2bd7534e9c,0.118
381d6e617b,0.11
0fbecdaab7,0.21
3840fb2b7b,0.168
25a8c99b72,0.11
deb9730935,0.16
678e1d58d9,0.12
b112950441,0.12
bc36d675a7,0.2
b9e102570e,0.247
0ac1f3d44b,0.1
6fc8ff973d,0.2
27d2fb835d,0.13
2574e27317,0.19
11e05c5d67,0.237
15daa42274,0.16
a390260c44,0.28
2b2a1db1ef,0.02
f87396fa19,0.151
1ff0f342ea,0.139
c88d35b317,0.27
475b144f51,0.22
3f97689fef,0.301
77d92c824c,0.16
c638e9eaaa,0.17
3368338fc8,0.109
731b297ee1,0.08
0daa926f21,0.18
97eb381195,0.272
286a6ccfa3,0.15
3115346726,0.13
047039e91b,0.19
be147574e6,0.417
a3c439ca3c,0.12
09c518902a,0.13
d66a655151,0.07
6e7ac764b8,0.184
62130212c7,0.2
cb3760074f,0.17
c46e47b642,0.09
c265f9c64d,0.429
0485650fdb,0.25
9aef3c5c92,0.27
6c96bbea5f,0.09
c521615bbc,0.219
4e1d8cab67,0.33
995084a14e,0.18
cb88c88a2b,0.18
d55b359d1c,0.108
66cfcd215b,0.14
6bc2d371e5,0.1
9983a98b40,0.21
491bae86d4,0.21
744565156f,0.06
e704e66217,0.11
3c85c50dd7,0.16
84406d6e73,0.031
3cea0bae8e,0.335
b22a81e4cc,0.16
c7a5fc575d,0.274
bb144a9fc2,0.2
4166d40cb7,0.143
3ca92fa772,0.14
0218550029,0.236
ebd6641a87,0.23
cf2e9955c1,0.08
85f556eddd,0.299
894020c044,0.138
8c4417f0e3,0.22
05ace5f632,0.19
a562da1bdb,0.11
d252b67cf8,0.13
f5770168eb,0.293
706460517e,0.21
db71a4d845,0.19
c3b4844619,0.241
dc30d06a99,0.11
f21f916046,0.287
e693696707,0.23
a65b5615f4,0.11
c3c2232711,0.189
a834180554,0.148
5024f57518,0.149
27d2d20e96,0.14
bec69560f3,0.18
387469a3f1,0.07
bad034df5a,0.11
57acde1d5f,0.14
e9f62c046c,0.13
482e55b3c8,0.15
69b92d4af5,0.255
27fb904b5f,0.13
faefe9f307,0.168
99ac83c225,0.11
11edb1ec5d,0.09
a8fcb6240c,0.109
9877bd005c,0.22
1b36fe8d93,0.45
8f0e82c7be,0.11
9862a5ee9a,0.14
15c90b500a,0.169
f83b8177b2,0.2
20438d7f64,0.08
bbbac0da7a,0.349
2c14ef674a,0.247
97910387b1,0.19
58000058cd,0.08
2a30a4ffa9,0.12
8e508f804d,0.07
00106be5a4,0.14
070d004cd4,0.28
e20cbfa39c,0.422
2f0d6754ec,0.22
56f348463b,0.1
cdda4a1258,0.33
0a4728a62f,0.07
c0ff4aa71a,0.191
c0901dc49c,0.14
6b1c7bc4d9,0.173
e9ce95dc61,0.129
9ef9fdb565,0.57
f9b3251c31,0.06
24baf8cc35,0.09
b1ad05c18e,0.231
e384a41629,0.18
e90de049fa,0.33
359c0fe8c3,0.19
237468cee4,0.05
aee6ad4431,0.18
e2260e1e98,0.1
44a371c42a,0.01
a57c5bc695,0.12
d0762e404a,0.07
7b8556934b,0.498
3f419061a3,0.09
0a03c761e4,0.54
035d864d78,0.17
1498205d49,0.18
b045750a83,0.05
9415ea7f36,0.07
304d5494fc,0.379
d8c6984583,0.27
31e8a8b23b,0.05
2d8cb12ee0,0.18
77c5e2f5ed,0.07
5a4279b514,0.02
dfb3179163,0.159
cce0c2e1b5,0.31
c9bdf41057,0.15
3b03e69e22,0.11
88d38eae0a,0.16
9025947c55,0.13
df6dfa2889,0.477
c09c61b631,0.0
2399ffcc58,0.104
30143f27be,0.16
a1ac17cae3,0.05
7bf878022c,0.09
f67c770143,0.11
e38269f628,0.14
6037250450,0.21
b686ef905b,0.22
7f67172a75,0.18
d75c844d59,0.14
82c07e0fd7,0.15
d3b5f4ecf0,0.367
cf55af9090,0.42
9fe67d0ba3,0.17
3382e6c4e6,0.16
a526a656b9,0.03
60e41a992c,0.25
b9f7a649b0,0.03
1d73e88f1b,0.14
952da220b2,0.232
f6f7e3910c,0.12
8d66eee40c,0.12
ea8a8d1311,0.207
a31299f5de,0.08
ee941ef24c,0.04
caec1347f1,0.12
582441f901,0.03
238da2111b,0.15
06c2d6122a,0.15
ba319411b2,0.27
cec53040ad,0.16
9963dd4e99,0.219
55d36fa916,0.31
8cfafa901c,0.139
8e90033822,0.31
347e8bcdce,0.14
3050b51a05,0.16
b8e51fb53d,0.15
3c72002258,0.166
f586df3394,0.15
0557ada663,0.13
8a8b4fcd77,0.283
285e0fa736,0.17
203d1b7bfc,0.2
1a60dedb4b,0.42
addfead780,0.25
4af45cec19,0.31
40d4bbe3cb,0.14
e8279c8e5b,0.243
6efdcce163,0.13
7c949d4c76,0.1
d1558b4f4f,0.05
8c663c61d9,0.17
5854e3b8af,0.178
d0b349fb4b,0.2
1a0c55ce75,0.33
44a39dce74,0.21
dff25780c2,0.369
e42b32b7c1,0.18
01fee56325,0.12
ed2f0d8109,0.1
02b3474f6a,0.03
3a7d0a84ab,0.21
621cee75a7,0.12
31cf1336f4,0.066
75d9edffcc,0.304
9bf1c04175,0.152
7f2387a4bd,0.13
2b669d53dd,0.09
b1f61cff78,0.13
04fa53f36a,0.1
6e2c8fb214,0.14
8509f1352e,0.1
24963f5eed,0.418
23246b7be8,0.24
2f1a4c32a7,0.04
623c174b95,0.12
352d95e05c,0.12
75fabe2f07,0.28
6bec48e12f,0.18
2c8fb12790,0.16
f45de25e88,0.14
a88dd4b190,0.199
c1ab5ac21a,0.09
2c38853358,0.06
7ae5e0f9a2,0.14
9b6d207b33,0.1
a40476cf74,0.06
ed7e0638ae,0.205
5ecb20694e,0.24
e3b62f5a75,0.297
81007a370c,0.24
751ed74ee3,0.23
ef0a628b5c,0.13
d8a2ae24a8,0.25
452f9e4159,0.268
d7a91466f4,0.14
a2dcefe83d,0.06
a83b7964cd,0.13
79e70d8aee,0.209
9d362fbac3,0.07
5112ae74ef,0.15
9fe15890a6,0.11
28f1190cea,0.3
d060d7ae40,0.2
a985365a27,0.02
2cbb557e30,0.08
1f8d7217c0,0.18
97250e5b2c,0.529
da0d65bda0,0.179
db0a0aca6f,0.089
5ddd6f399f,0.326
3ebc379a9a,0.124
31fa5cda2b,0.08
e6e0194d14,0.15
27f29a0c81,0.16
438953a389,0.06
05d009c2cf,0.36
7d06334cb7,0.09
664e68d198,0.18
6dcc7efd87,0.03
f207ce9f4b,0.16
dd9c96232d,0.17
c631c481d6,0.12
ec4bdd8f74,0.26
aca66c58a5,0.11
23e94ffa65,0.29
9f222890ac,0.209
14fd6d7bae,0.06
8000bcd444,0.19
680e354948,0.13
6e862033ce,0.173
a0eab9e76b,0.17
214e23fd3c,0.14
feb7d3f592,0.125
3510947894,0.148
ad3d1cf8dd,0.15
30d2a637bb,0.21
895538c67f,0.178
2a630b410b,0.21
14a601fc54,0.11
bf0a6590c3,0.159
b81c075dfe,0.12
dc83e115da,0.24
a1f9596c4b,0.1
00ffe76c58,0.11
0f9d1decb3,0.13
ccfb9c4cbe,0.266
307fb9ff32,0.277
e524956798,0.06
3870621637,0.06
3286892d8f,0.398
bb1ebf6ecc,0.09
1837cc2762,0.11
3945a40767,0.449
2398419234,0.08
479f44f590,0.07
b7097237b7,0.23
b2c0df7c3f,0.34
a322065f72,0.07
52fbdfa29b,0.1
31c1e28a9d,0.089
a66f6a95fc,0.27
3c2f162342,0.43
546c6fb8b6,0.24
462fbbeecd,0.27
dbe842641f,0.195
87cb50e207,0.29
6521dc0f87,0.15
f856142a3d,0.146
9bcad83d6e,0.18
e8a5a68fc6,0.12
237b31d683,0.168
2e4dfdf8a9,0.24
00dd7640c9,0.05
cdd8b0f0d9,0.14
1efacdf53a,0.15
d4fae82442,0.13
529b3f19a6,0.18
7a29e9a76c,0.26
ccfa15d341,0.21
b3a2dd84b7,0.168
d667406471,0.169
96487ce8ad,0.25
84e5dc61c3,0.18
f6c1d122d9,0.06
9aa370ca30,0.1
7be8ff05a2,0.1
aba984d307,0.09
1c43bbcb3a,0.04
18d639fa90,0.16
8cc7acf17b,0.283
d97ee9ba6a,0.168
4c609570bb,0.15
868e766b26,0.28
f867c19d2a,0.169
fe0bc9bcc2,0.09
03cdb5de0d,0.13
8317615eec,0.22
b5a926aef9,0.04
762b7f05f8,0.05
e7a36373fe,0.16
0c0e006ee9,0.467
55a0a009ad,0.14
e255e7d4ef,0.17
b4c614ecd6,0.16
3ad344eae7,0.289
08e37331e2,0.05
c410d0105d,0.14
07f1fe7e90,0.04
8d498185a4,0.16
f41da12299,0.119
b3bfadc09e,0.07
e05d9acea4,0.179
fd76835a81,0.12
810fb945be,0.12
7b0e1aa1bd,0.298
662a750b92,0.11
b366e0a427,0.18
74f63ca17c,0.13
e8cab8b390,0.14
1924e0b8de,0.11
9a8386ca61,0.299
de183ac6cb,0.18
004cc218d4,0.14
01485d6ecb,0.06
e2c15ecb09,0.16
d5642ca752,0.1
993dbda019,0.04
29e04db7a9,0.33
ad97dc5d12,0.16
3954ab8458,0.12
52088098fa,0.13
492fdd6623,0.61
0283def346,0.229
c45a386c05,0.049
cc3d68c31a,0.21
ed8ce9f0c3,0.16
4645ed9daf,0.3
f010a40043,0.16
980bdbedeb,0.29
2289325548,0.19
f36069e7d5,0.12
dc4dfc05cd,0.12
bd216904f6,0.03
55b7cde3b2,0.05
f1ad1fdc08,0.243
f16ebef8d6,0.202
b4b2275984,0.12
3fdf549f59,0.14
26305366c2,0.2
ab1fd64b79,0.08
c84dd207b9,0.28
d5ff23542f,0.124
9706e01d70,0.05
ff8fc43e5c,0.1
47d5262d5e,0.01
21750208f0,0.32
da425373e1,0.04
46c2001ea0,0.01
8e14afcb21,0.21
b25cae3c70,0.28
211c43f5a5,0.269
ad6b0f22cf,0.22
af65b585c2,0.08
043ffe8fc9,0.06
0d399588c6,0.269
c909977645,0.227
b2ec8b8d9e,0.23
3cc8aa5db5,0.08
3b6f239de0,0.18
4a4a1e43f0,0.09
ca55e93d4f,0.163
5c4b126e7d,0.1
e935224242,0.22
8d8d349271,0.15
181aa3caca,0.11
a8baa1399e,0.179
144cb2240a,0.375
3ec2086ecf,0.096
8ddc81db76,0.235
3e04c9e314,0.1
9877151c7a,0.229
f6321ba2d7,0.208
55ac72b46f,0.18
e4ad3a9bdc,0.458
ddeb89def6,0.08
70ece58f91,0.11
4c5fec3136,0.15
6f00f46aa0,0.12
5a56f51bcf,0.143
1bdee1c9ea,0.09
2632d13d3d,0.13
372bb32ec2,0.161
e7b5f34140,0.354
fcff789fde,0.323
43cefa837e,0.14
bc5cae3e2c,0.05
0a25224867,0.18
5c8252e7a3,0.08
3903cdc143,0.1
ffde7cb077,0.12
be9df9cd05,0.09
90d1f32b35,0.19
3811cc961b,0.12
66a9a0df48,0.26
df372c1b69,0.09
45486bed32,0.19
945c0b78c9,0.05
ae46466511,0.11
f78861cbaa,0.181
8195222052,0.27
064bb5f64c,0.468
1ce07cede7,0.319
15da7dc20e,0.19
e15bc6a8a1,0.138
4dd069c16a,0.104
6b71f7bf32,0.16
7acdee92ee,0.2
36da83918e,0.172
104759c8c2,0.04
ad9cbadb5a,0.09
dd9a788f5b,0.2
7811483326,0.24
e5d5c83b0c,0.11
c8ef31313a,0.1
372cea2bd8,0.06
30599b5334,0.07
faee02ad89,0.011
e00c3ea2a0,0.2
891b7826f0,0.1
4008ef3b6e,0.326
2bc7abf8be,0.08
f631e019d5,0.11
3294cfd4d1,0.04
bee4896df0,0.18
03b8596242,0.06
dcd6250c69,0.313
9d49c07440,0.15
7b142f2a80,0.12
6d3b423f99,0.09
1019a62d78,0.28
eec41397b6,0.06
27fb16d833,0.157
881f47e90b,0.07
6f47343070,0.06
d08cc30418,0.18
6abd30a8f4,0.18
4d9ab657fa,0.147
b0446614ca,0.06
7b482b8b12,0.18
f2fffa84fd,0.11
032608c348,0.08
956c34bc2a,0.23
8103b30cc2,0.07
7172072449,0.07
eea3a5993b,0.27
5b923fab09,0.1
db1dff32f3,0.087
6e2aa71c60,0.1
72343f1873,0.1
85f943cf5e,0.07
3020edce74,0.01
28a8889b95,0.1
301ba72550,0.03
04b43c5b6b,0.13
9c237e1655,0.1
4bac188972,0.253
355da40ab5,0.11
2bbb83d4f2,0.06
7b61c863d9,0.02
b51d61af24,0.03
d0782191e0,0.245
16356e2414,0.06
9cf91a21b0,0.19
e1031ef8a1,0.1
3793968f7c,0.33
39e7341056,0.29
3b0a246204,0.12
f237ff3c85,0.07
2cbd876c83,0.1
84ec6f5327,0.14
84e1d5a92a,0.23
01e0cd9013,0.18
aa910df056,0.478
85e4108f30,0.23
9ca39ff6da,0.13
b68b790121,0.1
9d4fd314f5,0.11
e51404016c,0.17
5958076679,0.078
48bfaa0674,0.14
d7aa42be2f,0.232
0efe810fee,0.21
6c9f30411e,0.14
dc631de300,0.21
2e71cf8f8a,0.2
3229b54306,0.16
bc25ca5259,0.15
80089d7917,0.02
7e386c4ab2,0.13
51511fdfe2,0.183
758995c563,0.44
32b1dd2f9e,0.09
7d96f302a6,0.366
9a1dc10fa2,0.11
900d9beb66,0.234
62c1f4f419,0.06
c4894f58f6,0.02
a768504b7d,0.14
386a78adf4,0.26
4af2ad5631,0.16
df78ffc67b,0.287
bab7cf9fb4,0.22
362808aa6c,0.397
767390dbf9,0.05
caedccf132,0.13
460229032c,0.096
06ca6a9e87,0.27
fd6667b177,0.15
2deb13ca62,0.09
6a21b76344,0.11
ba28daef1c,0.06
5c6562c1e2,0.1
dbc9e50760,0.23
40b0d9aba7,0.16
af7c2018e8,0.13
300f148751,0.11
8316f21bfc,0.36
11e7abb6b5,0.12
a36dfe69b2,0.21
7b061a13df,0.11
21f8a13dbc,0.22
3fd38f2f37,0.05
f7297e902f,0.14
d053c4693d,0.41
592b5757cd,0.1
c4585f76bf,0.12
369c2b3478,0.52
1d36fa9e63,0.37
f4c23f9b7c,0.22
7433998ed2,0.12
65de73389a,0.09
1ff9216cd5,0.16
8a7a2544ae,0.1
2ad7378c62,0.12
055b095d24,0.37
65ddb2774f,0.03
6b7ffacb51,0.05
792c9d26de,0.327
b5f957beb9,0.375
abd4444ed4,0.42
883f395ded,0.27
c06d670009,0.19
363351bef5,0.09
58fe78068c,0.29
33d4f0b72d,0.408
3104e965b1,0.199
fb5eb8cf3f,0.13
50fe6e8fbb,0.15
487ffd57d8,0.1
3a35d1d913,0.231
5d24f317bf,0.35
bf6c2634e1,0.18
2fefe3746e,0.11
d3ab07ad54,0.14
ebbd36e611,0.39
ea8a323045,0.08
0fe380a794,0.27
a2232f8fb5,0.426
6c5102f1a7,0.21
16a77ff673,0.159
d16891d1a5,0.25
1d0fc484d8,0.13
ef531bc316,0.238
c5f42cab7b,0.115
578094c2a1,0.1
122da277eb,0.178
ca08965939,0.08
e4d9b3cf77,0.12
716ecc5313,0.09
9db94122ad,0.07
529a9b5d05,0.09
08e8cf77a1,0.16
f7efa7e6e1,0.05
fbb95956a6,0.359
c37fc5e84f,0.13
00e56548ff,0.343
7e81f51dcc,0.04
af7394563a,0.27
ae83b63c8a,0.1
5f3b24d45d,0.1
2bf1c14120,0.17
6c4f80933c,0.16
72407829a3,0.15
817c401187,0.12
9cf7c62249,0.06
9263203240,0.22
3a216c7754,0.07
dc0d46157e,0.23
5b1dbe6dde,0.11
f80d7bb50a,0.21
d3ed45e7e2,0.488
e30b22a680,0.09
048d64bbb8,0.15
6bcd11c222,0.13
ced8796fcf,0.11
513bbe7dbc,0.069
8b0f265308,0.2
2ba1b0f622,0.17
40fc92ff07,0.07
2eaa22f999,0.14
8353de06ff,0.05
2f7756820f,0.299
51f3a7a135,0.375
2e9039ee83,0.17
b7ddcf00ec,0.212
67ab9fadad,0.231
2fb20c08fe,0.15
0b841bc9a0,0.18
981787a0e7,0.09
d03801496b,0.04
d89d996ef9,0.09
4660ffaf11,0.309
eaa2179fac,0.14
6842013c22,0.13
bcebbbf6a7,0.23
ade631f9bc,0.213
7eaca53316,0.1
5cb7fc7cd0,0.106
fcf9e85bbf,0.25
9ea693b209,0.312
89d9d4b2ee,0.31
ebea668dbe,0.11
4321ecc701,0.209
f67225f501,0.05
f850da1483,0.03
f930b02bc0,0.12
4ee0532d2a,0.11
b4dcc5151a,0.13
e85963d93d,0.317
358da03711,0.1
8d89f3f49d,0.08
80d30de350,0.371
d75ba4bb35,0.255
b44f98d561,0.09
6baf95c19a,0.188
361f029d5d,0.11
9ef9c85aae,0.22
503e8f72c6,0.13
aed0a6d9fb,0.19
bf73f6a0b9,0.18
162992ab70,0.22
146c7b24ae,0.43
5b5338df0c,0.02
c144336a0f,0.279
dc68dd2e44,0.22
925615ab39,0.318
e73feed2fd,0.2
2335abecd1,0.15
8ca5c93f9b,0.09
77939fc8b5,0.13
a9c57c22f0,0.11
49b4abf3a2,0.19
98d4a8547e,0.388
be04b95275,0.22
ef5624c558,0.15
975e1543df,0.13
382303e098,0.19
37ec95b463,0.569
